"b'Ron Centenario 30-Year'","s"
"b'Rumbullion Spiced'","r"
"b'Ron Esclavo 12-Year'","m"
"b'Cockspur 5 Star Fine'","r"
"b'Flor de Cana Extra Dry 4'","c"
"b'Blue Chair Bay Coconut'","r"
"b'Deadhead Aged'","x"
"b'Kirk and Sweeney 18-Year'","m"
"b'Appleton Estate Signature Blend'","m"
"b'Red Leg Spiced'","r"
"b'Matusalem Gran Reserva 18'","m"
"b'HSE VSOP'","r"
"b'Brugal Aejo Reserva'","m"
"b'Presidente 15-Year'","m"
"b'Ron Zacapa Centenario 23'","a"
"b'Don Q Cristal'","e"
"b'Dictador XO Perpetual'","l"
"b""Admiral Nelson's Premium Spiced""","A"
"b'Blackheart Premium Spiced'",""
"b'Pink Pigeon Original'","u"
"b'Bacardi Mojito'","e"
"b'Havana Club 15-Year'","b"
"b'Cruzan Coconut'",""
"b'Plantation Barbados 2000'","r"
"b'Santiago de Cuba 11-Year'","b"
"b'RumChata Cream'","A"
"b'Bacardi Mojito'","e"
"b'Mezan XO Jamaican'","r"
"b'Leblon Light Cachaca'","a"
"b'Punta Cana Esplendido'","m"
"b'Clement Blanc'","r"
"b'Havana Club Ritual Cubano'","b"
"b'Bacardi Coconut'","e"
"b""Doorly's 12-Year""","r"
"b'Plantation St. Lucia 2003'","r"
"b""Wood's 100 Old Navy""","y"
"b'Rhum du Pre Labat 59 Rhum'","a"
"b'Plantation Jamaica 2000'","r"
"b'Ron Bermudez Aniversario'","m"
"b'Ron Varadero Aejo 7-Year'","b"
"b'HSE Blanc'","r"
"b'Newfoundland Screech'","n"
"b'Lemon Hart 151'","y"
"b'El Dorado Dark'","y"
"b'Ron Caney Anejo Centuria'","b"
"b""Gosling's 151""","r"
"b'A. H. Riise XO Reserve Sauternes Cask'","n"
"b'The Real McCoy 12-Year'","r"
"b'Bayou Spiced'","A"
"b'Mocambo 20 Art Edition'","x"
"b'HSE Blanc'","r"
"b'Newfoundland Screech'","n"
"b' Don Pancho Origenes 18-Year Reserva Especial'","n"
"b'Matusalem Platino'","m"
"b'Rum Nation Panama 21-Year'","a"
"b'Ron Centenario 12-Year'","s"
"b'Captain Morgan Limited Edition'","e"
"b'Caroni 15-Year'","i"
"b'Angostura Cask Collection Number 1 Batch 1'","i"
"b'A. H. Riise Family Reserve Solera'","n"
"b'Koloa Dark'","A"
"b'Ron Botran Anejo 12'","a"
"b'Flor de Cana Black label 5'","c"
"b'Santa Teresa Gran Reserva'","n"
"b'Damoiseau Blanc 50% Rhum'","a"
"b'A. H. Riise XO Reserve Christmas'","n"
"b'Summum 12-Year'","i"
"b'Clement XO Rhum'","r"
"b'Ron Botran Reserva 15'","a"
"b'Old Monk Supreme'","d"
"b'Neisson Rhum Agricole Blanc Rhum'","r"
"b'Bacardi Big Apple'","e"
"b'Rhum JM Vieux VSOP'","r"
"b'Blue Chair Bay White'","r"
"b'SangSom Special'","a"
"b'Blue Chair Bay White'","r"
"b'Clement Creole Shrubb'","r"
"b'Clement XO Rhum'","r"
"b'Ron Esclavo 15-Year'","m"
"b'Opthimus 18-Year'","m"
"b'Bacardi Grand Melon'","e"
"b'HSE Black Sheriff'","r"
"b'Shellback Spiced'","A"
"b'Brugal Especial Extra Dry'","m"
"b'Blue Chair Bay Coconut Spiced'","r"
"b'La Favorite La Flibuste Rhum'","r"
"b'La Mauny Blanc Rhum'","r"
"b'Malecon Reserva Imperial 25-Year'","n"
"b'Don Q Gold'","e"
"b'Bologne Blanc 50%'","a"
"b'Bacardi Torched Cherry'","e"
"b'Ron Relicario Dominicano Superior'","m"
"b'Plantation Panama 2002'","r"
"b""Pusser's Overproof""","i"
"b'Flor de Cana Anejo Clasico 5-Year'","c"
"b'Old New Orleans Cajun Spice'","A"
"b'Angostura 5-Year'","i"
"b'Clement Cuvee Homere Rhum'","r"
"b'Plantation Guatemala XO Extra Old Reserve'","r"
"b'Atlantico Reserva'","m"
"b'Old New Orleans Cajun Spice'","A"
"b'Oronoco Fazenda Reserva'","a"
"b'Plantation Panama 2002'","r"
"b'Malecon 18-Year'","n"
"b'Kaniche Reserve'","r"
"b'Clement Cuvee Homere Rhum'","r"
"b'Clement 10-Year'","r"
"b'Rhum JM Blanc Rhum'","r"
"b'Bacardi Carta Oro'","e"
"b'Pampero Anejo Seleccion 1938'","n"
"b'Santa Teresa Selecto'","n"
"b'The Scarlet Ibis Gold'","i"
"b'Bacardi O'","e"
"b'Captain Morgan Silver Spiced'","e"
"b'Clement 6-Year Rhum'","r"
"b'1931 82nd Anniversary'","."
"b'The Duppy Share Caribbean'","r"
"b'Malecon 15-Year'","n"
"b'Opthimus 21-Year'","m"
"b'Coruba Original'","m"
"b'English Harbour 10-Year'","t"
"b'Plantation Trinidad Overproof'","r"
"b'1931 82nd Anniversary'","."
"b'Plantation Trinidad Overproof'","r"
"b'Bielle Blanc Rhum'","a"
"b'Clement Canna Bleue Rhum'","r"
"b'Old Nick Blanc'","r"
"b'Ron Zacapa Reserva Limitada 2013'","a"
"b""Prichard's Fine""","A"
"b'English Harbour 1981'","t"
"b'Vizcaya Cask 12'","m"
"b'Thomas Tew Authentic'","A"
"b'Diplomatico Liqueur de Rhum'","n"
"b'Cacique Anejo Superior'","n"
"b'Ron Mulata Anejo Gran Reserva'","b"
"b'Dillon Blanc 50% Rhum'","r"
"b""Chairman's The Forgotten Cask""","."
"b'Bacardi Carta Negra'","e"
"b'Bacardi Reserva'","e"
"b'Ron Quorhum 15-Year'","m"
"b'Cubaney Exquisito 21-Year'","m"
"b'Neisson White 50'","r"
"b'Ron Zacapa Reserva Limitada 2015'","a"
"b'Ron Zacapa 23 Black Label'","a"
"b'Lemon Hart Premium'","y"
"b'Arcane Delicatissime'","u"
"b'Ron Mulata Anejo Gran Reserva'","b"
"b""Prichard's Fine""","A"
"b'Dillon Blanc 50% Rhum'","r"
"b'Old Pascas Negro'","r"
"b'Flor de Cana Centenario 21'","c"
"b'Clement Canna Bleue Rhum'","r"
"b'Ron Zacapa Reserva Limitada 2015'","a"
"b'Bacardi Carta Negra'","e"
"b'Bacardi Gran Reserva Maestro de Ron'","e"
"b'Ron Centenario XX'","s"
"b'A. H. Riise 1888 Copenhagen Gold Medal'","n"
"b'Cubaney Exquisito 21-Year'","m"
"b'Bayou Silver'","A"
"b'BRN Sea Wynde'","r"
"b'La Mauny VSOP'","r"
"b'Plantation Trinidad 2001'","r"
"b'Old J Spiced'",""
"b'Opthimus 25-Year Malt Whiskey Finish'","m"
"b""Oliver's Exquisito 1985 Vintage Solera""","m"
"b'Plantation Barbados 2001'","r"
"b'Trois Rivires VSOP'","r"
"b'HSE Extra Vieux XO'","r"
"b'Appleton Estate Reserve Blend'","m"
"b'Appleton Estate White'","m"
"b'Diplomatico 2002 Single Vintage'","n"
"b'Rum Nation Demerara Solera No 14'","a"
"b'Old J Spiced'",""
"b'Appleton Estate White'","m"
"b""Oliver's Exquisito 1985 Vintage Solera""","m"
"b'Bayou Silver'","A"
"b'HSE Extra Vieux XO'","r"
"b'BRN Sea Wynde'","r"
"b'Plantation Barbados 2001'","r"
"b'Richland  Single Estate Old Georgia'","A"
"b'Appleton Estate Reserve Blend'","m"
"b'Saint James Blanc 50'","r"
"b'Barbancourt 3 Star 4-Year'","i"
"b'Seven Tiki Spiced'","j"
"b'Tommy Bahama Golden Sun'","r"
"b'Old Brigand Black Label'","r"
"b'La Mauny XO'","r"
"b'1931 81st Anniversary'","."
"b'A. H. Riise XO 175 Years Anniversary'","n"
"b'Beach House Spiced'","u"
"b'El Dorado Superior White'","y"
"b""Whaler's Original Dark""","A"
"b'Ron Viejo de Caldas 3-Year'","l"
"b'Khukri XXX Coronation'","p"
"b'El Dorado Superior White'","y"
"b'Beach House Spiced'","u"
"b'Khukri XXX Coronation'","p"
"b'Appleton Estate 30-Year Limited Edition'","m"
"b'A. H. Riise XO 175 Years Anniversary'","n"
"b'Ryoma 7-Year'","p"
"b""Pusser's Red Label""","i"
"b'Ron Centenario 9-Year'","s"
"b'Ron Viejo de Caldas 3-Year'","l"
"b'Seven Tiki Aged'","j"
"b'Plantation Guyana 1999'","r"
"b""Saint James Hors d'Age""","r"
"b'Banks 7 Golden Age'","l"
"b'Lemon Hart Original'","y"
"b'Sammys Beach Bar Red Head'","A"
"b'Panama Red Overproof'","n"
"b'Matusalem 7-Year'","m"
"b'Rum Nation Caroni 1998'","a"
"b'Pyrat Pistol'","g"
"b""Lamb's Palm Breeze""","n"
"b'Banks 5-Island'","l"
"b'Mount Gay Eclipse Silver'","r"
"b'Dzama Vanilla'","d"
"b""Pirate's Grog Golden""","n"
"b'Sammys Beach Bar Red Head'","A"
"b'Plantation Guadeloupe 1998 Single Cask'","r"
"b'Mount Gay Eclipse Silver'","r"
"b'Rum Nation Caroni 1998'","a"
"b'Westerhall Plantation'","e"
"b'Cacique Antiguo'","n"
"b""Lamb's Palm Breeze""","n"
"b'Banks 7 Golden Age'","l"
"b'Brinley Gold Coconut'","."
"b'Rum Nation Peruano 8-Year'","a"
"b""Pirate's Grog Golden""","n"
"b'Pyrat Pistol'","g"
"b'Captain Morgan Lime Bite'","e"
"b'Rebellion Spiced'","r"
"b'Elements 8 Gold'","."
"b'Montecristo 12-Year'","a"
"b'Neisson Reserve Speciale Rhum'","r"
"b""Lamb's White""","n"
"b'Malecon 21-Year'","n"
"b'Pitu Light Cachaca'","a"
"b'St. Nicholas Abbey 15-Year'","r"
"b""Oliver's Exquisito 1990 Vintage Solera""","m"
"b'Ron Ocumare 12-Year'","n"
"b'Tommy Bahama White Sands'","r"
"b'Saint James Imperial Blanc'","r"
"b'Sunset Captain Bligh Golden'","."
"b'Tommy Bahama White Sands'","r"
"b""Pusser's Gunpowder Proof""","i"
"b'Penny Blue XO'","u"
"b'Plantation Grenada 2004'","r"
"b'Ron Cartavio 12-Year'","r"
"b'Skotlander Spirits Handcrafted I'","n"
"b'St. Nicholas Abbey 15-Year'","r"
"b""Oliver's Exquisito 1990 Vintage Solera""","m"
"b'Ron Ocumare 12-Year'","n"
"b'Santa Teresa Gran Reserva Linaje'","n"
"b'Caliche Light'","e"
"b'J. Bally 7-Year Rhum'","r"
"b'Atlantico Platino'","m"
"b'Black Tot Royal Navy'",""
"b'Plantation Panama 2000'","r"
"b'Castillo Silver'","e"
"b'Dillon Blanc 55 Rhum'","r"
"b'Cruzan Banana'",""
"b'Riviere du Mat Grande Reserve'","u"
"b'Havana Club Barrel Proof'","b"
"b'St. Nicholas Abbey 10-Year'","r"
"b'Bundaberg Overproof'","s"
"b'Blackbeard Spiced'","e"
"b'Captain Morgan Coconut'","e"
"b'Ron Quorhum 12-Year'","m"
"b'Angostura Single Barrel Reserve'","i"
"b'Ron Viejo de Caldas 8-Year'","l"
"b'Tanduay Dark'","i"
"b'New Grove Old Tradition 8-Year'","u"
"b'Santiago de Cuba 20-Year'","b"
"b'Blue Chair Bay Banana'","r"
"b'Sugar Island spiced'","A"
"b'Foursquare 2004 11-Year Bourbon Cask Strength'","r"
"b'Trigo Reserva Aneja'","e"
"b'Appleton Estate 50-Year'","m"
"b'Presidente 19-Year'","m"
