;label;sugar
298;English Harbor 1981 25 Year;12
299;English Harbour Aged 5 Years;15
300;English Harbour Rum 1981;12
301;English Spirit Distillery - Old Salt Rum;6
599;Esclavo XO 1423;48
302;Facile Punsch;22
303;FAIR 10 Year Old Rum;0
304;Fair Rum du Belize;0
305;Flor de Cana 12y;0
306;Flor de Cana 12y;3
307;Flor de Cana 18;8
308;Flor de Cana 4y (very old, very empty, not reliable);14
309;Flor de Cana 5 Anejo Clasico;0
310;Flor de Cana 5y;0
311;Flor de Cana 7 Year;0
312;Flor de Cana 7y;0
313;Fortuna 8 yr;19
315;Foursquare Port Cask;0
314;Foursquare Port Cask Finish - bottled 2014;0
316;G&P Dormoy Hors d'Age;6
317;Gold of Mauritius;30
318;Gosling's Black Seal;16
319;Goslings Black Seal;11
320;Goslings Old Grand Reserve;15
321;Havana Club 15 yr;8
322;Havana Club 3 yr;0
323;Havana Club 3 yr;4
325;Havana Club 7 yr;5
326;Havana Club 7 yr;6
329;Havana Club Aejo 3;3
330;Havana Club Aejo 7;4
327;Havana Club Anejo 15;8
328;Havana Club Anejo 3 Anos;8
331;Havana Club Anejo Blanco;3
332;Havana Club Anejo Especial (New Formula);17
334;Havana Club Anejo Reserva;4
335;Havana Club Blanco;3
337;Havana Club Especial;22
336;Havana Club Especial (pre 2015 re-formulation);12
338;Havana Club Extra Maximo;12
339;Havana Club Maximo;16
340;Havana Club Seleccion de Maestro;0
341;Havana Club Seleccion de Maestro;7
342;Havana Club Union;14
343;Havana Club Union;8
333;Havana ClubAejo Reserva;3
344;Holey Dollar Rum Silver Coin;0
345;Holy Spirit Sweden Rock;3
346;HSE 1960 (AOC);11
347;HSE 1998 Single Cask 1998;0
348;HSE 2005 Sherry Finish (PX) btl.2013;0
349;HSE 2005 Single Malt Finish btl.2013;0
350;HSE Black Sheriff;0
351;HSE Blanc;0
352;HSE Extra Vieux XO;3
353;HSE Single Cask Extra Vieux 1998 Cognac finish;11
354;HSE Single Malt Finish;0
355;HSE XO;0
356;Huracan Anejo Reserva;0
357;Iceberg Imported Demerara Gold Rum (Canada);0
358;Innis & Gunn;0
359;Isautier 15 anos;0
360;Isautier 15 ans;3
