name,country,category,price,n_ratings,brand_base_urls
Diplomatico Añejo,Venezuela,Gold,22.18,109,https://www.rumratings.com/brands/314-diplomatico-anejo
Papas Pilar Dark,USA,Aged,69.88,109,https://www.rumratings.com/brands/1244-papas-pilar-dark
Ron Botran Solera 1893,Guatemala,Aged,46.02,106,https://www.rumratings.com/brands/761-ron-botran-solera-1893
Ron Esclavo XO,Dominican Republic,Aged,NA,105,https://www.rumratings.com/brands/1684-ron-esclavo-xo
Havana Club Blanco,Cuba,Light,25.68,104,https://www.rumratings.com/brands/439-havana-club-blanco
La Hechicera Extra Anejo,Colombia,Aged,49.2,104,https://www.rumratings.com/brands/1464-la-hechicera-extra-anejo
Appleton Estate Rare Blend 12-Year,Jamaica,Aged,NA,104,https://www.rumratings.com/brands/2278-appleton-estate-rare-blend-12-year
Chairman's Reserve,St. Lucia,Aged,28.85,103,https://www.rumratings.com/brands/188-chairman-s-reserve
Don Papa 10-Year,Philippines,Aged,63.52,102,https://www.rumratings.com/brands/1938-don-papa-10-year
Ron Del Barrilito 3 Star,Puerto Rico,Aged,47.41,102,https://www.rumratings.com/brands/1257-ron-del-barrilito-3-star
Kirk and Sweeney 23-Year,Dominican Republic,Aged,NA,101,https://www.rumratings.com/brands/2051-kirk-and-sweeney-23-year
Clement VSOP Rhum,Martinique,Rhum Agricole,39.78,100,https://www.rumratings.com/brands/225-clement-vsop-rhum
Don Q Gran Anejo,Puerto Rico,Aged,62.12,98,https://www.rumratings.com/brands/334-don-q-gran-anejo
Ron Centenario 25-Year,Costa Rica,Aged,72.47,98,https://www.rumratings.com/brands/782-ron-centenario-25-year
El Dorado 5-Year,Guyana,Gold,22.74,96,https://www.rumratings.com/brands/371-el-dorado-5-year
Captain Morgan White,Puerto Rico,Light,16.59,96,https://www.rumratings.com/brands/1284-captain-morgan-white
Kirk and Sweeney 18-Year,Dominican Republic,Aged,NA,96,https://www.rumratings.com/brands/2050-kirk-and-sweeney-18-year
English Harbour 5-Year,Antigua,Aged,23.9,96,https://www.rumratings.com/brands/390-english-harbour-5-year
Appleton Estate Signature Blend,Jamaica,Aged,21.79,95,https://www.rumratings.com/brands/3424-appleton-estate-signature-blend
Bacardi Limon,Puerto Rico,Flavored,26.51,95,https://www.rumratings.com/brands/1097-bacardi-limon
Ron Quorhum 23-Year,Dominican Republic,Aged,69.46,94,https://www.rumratings.com/brands/832-ron-quorhum-23-year
Cruzan Single Barrel,US Virgin Islands,Aged,67.68,94,https://www.rumratings.com/brands/263-cruzan-single-barrel
Mount Gay 1703 Old Cask,Barbados,Aged,41.97,93,https://www.rumratings.com/brands/561-mount-gay-1703-old-cask
Presidente 15-Year,Dominican Republic,Aged,39.8,91,https://www.rumratings.com/brands/1506-presidente-15-year
Ron de Jeremy XO 15-Year,Panama,Aged,NA,90,https://www.rumratings.com/brands/2106-ron-de-jeremy-xo-15-year
A. H. Riise Non Plus Ultra Very Rare,Denmark,Aged,163.93,88,https://www.rumratings.com/brands/1313-a-h-riise-non-plus-ultra-very-rare
Ron Malteco 15-Year,Guatemala,Aged,36,85,https://www.rumratings.com/brands/1443-ron-malteco-15-year
Cruzan Black Strap,US Virgin Islands,Dark,NA,85,https://www.rumratings.com/brands/247-cruzan-black-strap
A. H. Riise Royal Danish Navy,Denmark,Gold,66.79,84,https://www.rumratings.com/brands/1307-a-h-riise-royal-danish-navy
Diplomatico 2001 Single Vintage,Venezuela,Aged,NA,83,https://www.rumratings.com/brands/1713-diplomatico-2001-single-vintage
Ron Abuelo Anejo,Panama,Gold,17.84,83,https://www.rumratings.com/brands/737-ron-abuelo-anejo
Diplomatico Mantuano,Venezuela,Aged,NA,83,https://www.rumratings.com/brands/4262-diplomatico-mantuano
A. H. Riise XO Reserve,Denmark,Aged,72.12,82,https://www.rumratings.com/brands/1306-a-h-riise-xo-reserve
Appleton Estate Reserve,Jamaica,Gold,24.4,82,https://www.rumratings.com/brands/44-appleton-estate-reserve
Plantation Gran Anejo Guatemala,Caribbean,Aged,38.6,81,https://www.rumratings.com/brands/1181-plantation-gran-anejo-guatemala
Saint James Royal Ambre,Martinique,Gold,21.62,80,https://www.rumratings.com/brands/911-saint-james-royal-ambre
10 Cane Light,Trinidad,Light,NA,80,https://www.rumratings.com/brands/1-10-cane-light
Plantation Barbados Grande Reserve,Caribbean,Aged,22.46,79,https://www.rumratings.com/brands/3735-plantation-barbados-grande-reserve
Blackwell Black Gold Special Reserve,Jamaica,Aged,NA,79,https://www.rumratings.com/brands/126-blackwell-black-gold-special-reserve
Barcelo Anejo,Dominican Republic,Gold,15.27,79,https://www.rumratings.com/brands/95-barcelo-anejo
Foursquare 9-Year Port Cask Finish,Barbados,Aged,NA,79,https://www.rumratings.com/brands/2233-foursquare-9-year-port-cask-finish
Rumbullion Spiced,Caribbean,Spiced,103.15,79,https://www.rumratings.com/brands/1234-rumbullion-spiced
Brugal Extra Viejo,Dominican Republic,Aged,32.01,78,https://www.rumratings.com/brands/1048-brugal-extra-viejo
Lamb's Navy,Canada,Dark,7.63,77,https://www.rumratings.com/brands/500-lamb-s-navy
Stroh Original 80,Austria,Flavored,19.77,77,https://www.rumratings.com/brands/919-stroh-original-80
Pampero Especial,Venezuela,Aged,23.82,77,https://www.rumratings.com/brands/634-pampero-especial
Captain Morgan Cannon Blast,Puerto Rico,Spiced,NA,77,https://www.rumratings.com/brands/2142-captain-morgan-cannon-blast
Presidente 23-Year,Dominican Republic,Aged,57.74,77,https://www.rumratings.com/brands/1507-presidente-23-year
Dictador XO Insolent,Colombia,Aged,105.5,76,https://www.rumratings.com/brands/306-dictador-xo-insolent
Flor de Cana 25-Year,Nicaragua,Aged,126.93,75,https://www.rumratings.com/brands/1339-flor-de-cana-25-year
Doorly's 12-Year,Barbados,Aged,NA,75,https://www.rumratings.com/brands/1677-doorly-s-12-year
Wray & Nephew White Overproof,Jamaica,Overproof,20.38,75,https://www.rumratings.com/brands/1165-wray-nephew-white-overproof
Gold of Mauritius Dark,Mauritius,Dark,NA,74,https://www.rumratings.com/brands/1584-gold-of-mauritius-dark
Ron Esclavo XO Cask,Dominican Republic,Aged,NA,71,https://www.rumratings.com/brands/1863-ron-esclavo-xo-cask
Old Monk XXX,India,Gold,21.9,71,https://www.rumratings.com/brands/606-old-monk-xxx
Barbancourt Reserve du Domaine 15-Year,Haiti,Aged,NA,69,https://www.rumratings.com/brands/90-barbancourt-reserve-du-domaine-15-year
Dos Maderas Luxus,Barbados,Aged,146.53,69,https://www.rumratings.com/brands/1134-dos-maderas-luxus
Ron Centenario 30-Year,Costa Rica,Aged,186.86,68,https://www.rumratings.com/brands/783-ron-centenario-30-year
UNHIQ XO,Dominican Republic,Aged,122.12,68,https://www.rumratings.com/brands/1315-unhiq-xo
Captain Morgan 1671,Puerto Rico,Spiced,83.23,67,https://www.rumratings.com/brands/1369-captain-morgan-1671
Red Leg Spiced,Caribbean,Spiced,23.86,67,https://www.rumratings.com/brands/699-red-leg-spiced
Foursquare Zinfandel Cask Blend 11-Year,Barbados,Aged,NA,66,https://www.rumratings.com/brands/3743-foursquare-zinfandel-cask-blend-11-year
Appleton Estate Special Gold,Jamaica,Gold,15.04,66,https://www.rumratings.com/brands/46-appleton-estate-special-gold
Chairman's Reserve Spiced,St. Lucia,Spiced,23.41,66,https://www.rumratings.com/brands/189-chairman-s-reserve-spiced
Brugal XV,Dominican Republic,Aged,21.86,65,https://www.rumratings.com/brands/1380-brugal-xv
Punta Cana XOX,Dominican Republic,Aged,47.75,64,https://www.rumratings.com/brands/1336-punta-cana-xox
Ron Esclavo 12-Year,Dominican Republic,Aged,NA,63,https://www.rumratings.com/brands/1319-ron-esclavo-12-year
Bacardi Razz,Puerto Rico,Flavored,NA,62,https://www.rumratings.com/brands/1098-bacardi-razz
Ron Botran Reserva,Guatemala,Aged,40.46,62,https://www.rumratings.com/brands/760-ron-botran-reserva
Barcelo Imperial Premium Blend 30 Aniversario,Dominican Republic,Aged,120.75,61,https://www.rumratings.com/brands/1246-barcelo-imperial-premium-blend-30-aniversario
Angostura 7-Year,Trinidad,Aged,21.57,61,https://www.rumratings.com/brands/1275-angostura-7-year
Don Pancho Origenes 18-Year Reserva Especial,Panama,Aged,69.44,61,https://www.rumratings.com/brands/1410-don-pancho-origenes-18-year-reserva-especial
Plantation Original Dark,Caribbean,Dark,17,61,https://www.rumratings.com/brands/1666-plantation-original-dark
Appleton Estate 8-Year,Jamaica,Aged,24.73,61,https://www.rumratings.com/brands/40-appleton-estate-8-year
Diplomatico 2002 Single Vintage,Venezuela,Aged,NA,61,https://www.rumratings.com/brands/3520-diplomatico-2002-single-vintage
Bacardi Añejo,Puerto Rico,Gold,NA,60,https://www.rumratings.com/brands/75-bacardi-anejo
Opthimus 25-Year,Dominican Republic,Aged,79.49,60,https://www.rumratings.com/brands/1326-opthimus-25-year
Negrita Dark,Martinique,Dark,NA,60,https://www.rumratings.com/brands/577-negrita-dark
Cruzan Gold,US Virgin Islands,Gold,NA,59,https://www.rumratings.com/brands/254-cruzan-gold
Bacardi Reserva Limitada,Puerto Rico,Aged,115,59,https://www.rumratings.com/brands/80-bacardi-reserva-limitada
Opthimus 15-Year,Dominican Republic,Aged,6.82,59,https://www.rumratings.com/brands/1322-opthimus-15-year
Deadhead Aged,Mexico,Aged,60.52,58,https://www.rumratings.com/brands/1171-deadhead-aged
Captain Morgan Parrot Bay,Puerto Rico,Flavored,NA,58,https://www.rumratings.com/brands/1089-captain-morgan-parrot-bay
Brinley Gold Shipwreck Spiced,St. Kitts,Spiced,26.55,57,https://www.rumratings.com/brands/1058-brinley-gold-shipwreck-spiced
Pusser's Gunpowder Proof,British Virgin Isles,Overproof,35.41,56,https://www.rumratings.com/brands/3619-pusser-s-gunpowder-proof
Brugal Siglo de Oro,Dominican Republic,Aged,130.47,55,https://www.rumratings.com/brands/1131-brugal-siglo-de-oro
Ron Botran Reserva 15,Guatemala,Aged,32.32,55,https://www.rumratings.com/brands/2377-ron-botran-reserva-15
Plantation Original Dark Double Aged,Caribbean,Aged,NA,55,https://www.rumratings.com/brands/5140-plantation-original-dark-double-aged
The Real McCoy 12-Year,Barbados,Aged,NA,54,https://www.rumratings.com/brands/1497-the-real-mccoy-12-year
Ron Zacapa Edicion Negra,Guatemala,Aged,NA,54,https://www.rumratings.com/brands/3704-ron-zacapa-edicion-negra
Don Q Anejo,Puerto Rico,Gold,NA,53,https://www.rumratings.com/brands/330-don-q-anejo
Foursquare 2004 11-Year Bourbon Cask Strength,Barbados,Aged,NA,52,https://www.rumratings.com/brands/3767-foursquare-2004-11-year-bourbon-cask-strength
Presidente 19-Year,Dominican Republic,Aged,51.34,52,https://www.rumratings.com/brands/1505-presidente-19-year
Plantation Jamaica 2001,Caribbean,Aged,NA,52,https://www.rumratings.com/brands/1424-plantation-jamaica-2001
Punta Cana Esplendido,Dominican Republic,Aged,NA,51,https://www.rumratings.com/brands/1338-punta-cana-esplendido
Ron Zacapa Etiqueta Negra,Guatemala,Aged,96.16,51,https://www.rumratings.com/brands/1714-ron-zacapa-etiqueta-negra
Cacique 500 Gran Reserva,Venezuela,Aged,22.1,51,https://www.rumratings.com/brands/1114-cacique-500-gran-reserva
Ron Zacapa Centenario 23,Guatemala,Aged,88.54,51,https://www.rumratings.com/brands/1283-ron-zacapa-centenario-23
Bundaberg Original UP,Australia,Gold,NA,51,https://www.rumratings.com/brands/154-bundaberg-original-up
Ron Zacapa Reserva Limitada 2014,Guatemala,Aged,NA,51,https://www.rumratings.com/brands/1676-ron-zacapa-reserva-limitada-2014
Dos Maderas 5+3,Barbados,Aged,35.12,50,https://www.rumratings.com/brands/340-dos-maderas-5-3
Rhum JM XO Rhum,Martinique,Rhum Agricole,55.63,51,https://www.rumratings.com/brands/719-rhum-jm-xo-rhum
Plantation Gran Anejo Guatemala & Belize,Caribbean,Aged,NA,50,https://www.rumratings.com/brands/3852-plantation-gran-anejo-guatemala-belize
Ron Malteco 10-Year,Guatemala,Aged,26.06,50,https://www.rumratings.com/brands/1445-ron-malteco-10-year
Caroni 12-Year,Trinidad,Aged,54.36,49,https://www.rumratings.com/brands/1282-caroni-12-year
Santiago de Cuba 12-Year,Cuba,Aged,46.2,49,https://www.rumratings.com/brands/2183-santiago-de-cuba-12-year
Legendario Ron Anejo,Cuba,Aged,NA,49,https://www.rumratings.com/brands/504-legendario-ron-anejo
Brugal Extra Viejo Reserva,Dominican Republic,Aged,20.96,48,https://www.rumratings.com/brands/148-brugal-extra-viejo-reserva
Foursquare Spiced,Barbados,Spiced,32.02,48,https://www.rumratings.com/brands/413-foursquare-spiced
Matusalem Clasico 10-Year,Dominican Republic,Aged,21.86,48,https://www.rumratings.com/brands/530-matusalem-clasico-10-year
Flor de Cana Extra Dry 4,Nicaragua,Light,16.65,48,https://www.rumratings.com/brands/405-flor-de-cana-extra-dry-4
Capitan Bucanero 7-Year,Dominican Republic,Aged,NA,48,https://www.rumratings.com/brands/1733-capitan-bucanero-7-year
Pyrat Cask 1623,Anguilla,Aged,297.39,48,https://www.rumratings.com/brands/669-pyrat-cask-1623
Chairman's The Forgotten Cask,St. Lucia,Aged,47.11,48,https://www.rumratings.com/brands/2112-chairman-s-the-forgotten-cask
Cockspur VSOR 12-Year,Barbados,Aged,28.37,48,https://www.rumratings.com/brands/227-cockspur-vsor-12-year
Caroni 15-Year,Trinidad,Aged,106.07,47,https://www.rumratings.com/brands/1682-caroni-15-year
El Dorado 3-Year,Guyana,Light,18.81,47,https://www.rumratings.com/brands/370-el-dorado-3-year
Don Q Cristal,Puerto Rico,Light,NA,47,https://www.rumratings.com/brands/332-don-q-cristal
Bacardi Select,Puerto Rico,Dark,NA,47,https://www.rumratings.com/brands/81-bacardi-select
Diplomatico Blanco,Venezuela,Light,NA,46,https://www.rumratings.com/brands/315-diplomatico-blanco
Havana Club 15-Year,Cuba,Aged,199.33,46,https://www.rumratings.com/brands/434-havana-club-15-year
A. H. Riise 1888 Copenhagen Gold Medal,Denmark,Aged,51.64,46,https://www.rumratings.com/brands/2021-a-h-riise-1888-copenhagen-gold-medal
Mezan XO Jamaican,Caribbean,Aged,42.86,45,https://www.rumratings.com/brands/1706-mezan-xo-jamaican
Santiago de Cuba 11-Year,Cuba,Aged,NA,44,https://www.rumratings.com/brands/1431-santiago-de-cuba-11-year
Flor de Cana Gold 4,Nicaragua,Gold,10.81,44,https://www.rumratings.com/brands/408-flor-de-cana-gold-4
Ron de Jeremy Spiced,Panama,Spiced,28.33,43,https://www.rumratings.com/brands/1154-ron-de-jeremy-spiced
Plantation Overproof O.F.T.D.,Caribbean,Dark,NA,43,https://www.rumratings.com/brands/4102-plantation-overproof-o-f-t-d
Ron de Jeremy The Adult,Panama,Aged,41.01,43,https://www.rumratings.com/brands/1153-ron-de-jeremy-the-adult
Ron Centenario 12-Year,Costa Rica,Aged,32.16,43,https://www.rumratings.com/brands/780-ron-centenario-12-year
Bacardi Carta Oro,Puerto Rico,Gold,25.64,42,https://www.rumratings.com/brands/2087-bacardi-carta-oro
Kilo Kai Spiced,Curacao,Spiced,NA,42,https://www.rumratings.com/brands/472-kilo-kai-spiced
Wood's 100 Old Navy,Guyana,Dark,NA,42,https://www.rumratings.com/brands/1020-wood-s-100-old-navy
Cockspur 5 Star Fine,Barbados,Gold,16.31,42,https://www.rumratings.com/brands/228-cockspur-5-star-fine
Dictador XO Perpetual,Colombia,Aged,105.5,42,https://www.rumratings.com/brands/307-dictador-xo-perpetual
