review_id,header,review,date,reviewer,location,rev_n_ratings,rating,brand_base_urls,name,country,category,price,n_ratings
48695,The best I’ve tasted,"I have about 15 rums in my collection and I’ll admit I like them on the sweet side, but it was the smoothness of this when sipping neat that blew my mind. No need for any ice and no burn.I still have a couple to open but this is the perfect benchmark.",2018-04-04,Colli,United Kingdom,11,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
44470,Candied liqueur for people who don't actually like alcohol,"In the glass, the rum is dark mahogany brown, co doubt thanks to a heavy dose of caramel coloring.The nose is pancakes, toffee, burnt sugar, wood polish, leather - quite pleasant in fact. The taste is major downer, however - a super sweet concoction, like drinking cola syrup, with faint wood influence and meek burn. Overpowering vanilla taste, cola, candy, brown sugar, tiramisu, maple syrup. It's like drinking liquid candy.This is a liqueur, through and through, and I would not have a problem with it if only it was marketed transparently. The taste is not unpleasant, if you like candy, it just does not taste like rum at all.",2017-12-28,Kamamura,Czech Republic,20,5,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
41561,This is not rhum,"It's sweet and slightly pleasant, but this is not a rum but a liqueur. There is lots off added sugar and it also has a strong taste of vanilla, no doubt added.",2017-11-04,Arnaud,France,15,4,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
40344,Diplomatico,Best rum for your money without question.Thanks to rum ratings! This website gives me the oportunity of learning and trying new rums from all over the world and knowing more about what im buying. Diplomatico Reserva Exclusiva is a good sipping rum a little bit sweet but ok.,2017-10-01,Hector,United States,38,7,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
38294,94/100 Best price-quality ratio of any aged dark rums!,"Well over 700 aged dark rums enjoyed and Diplomatico Reserva Exclusiva is still on my Top 10 list after 15 years. It is sublime, very smooth, no burn at all and contains plenty of flavors plus it is the best price-quality ratio of any rums, period. If you haven't tried yet Diplomatico Reserva Exclusiva, go quickly and get a bottle since it will set a brand new benchmark for your personal rum list.Detailed scoring analysis:10/100 Packaging, bottle and label design   910/100 Color of this rum                                915/100 Nose test                                            1320/100 Palate test                                          1915/100 Afterburn of this rum                          1415/100 Availability to purchase this rum        1515/100 Ultimate value for money                   15                                                    Total score  94Here's my top 20 list:1. Ron Esclavo XO Cask Strength2. Legendario 15y3. Cubaney Centenario 25-30y4. Esclavo XO5. Millonario XO and 15y6. Plantation Barbados XO 20th Anniversary7. El Dorado 25y8. Diplomatico Reserva Exclusiva and Single Vintage9. Presidente Marti 23y and 19y10. Cubaney 18y11. Pusser's 15y12. Black Tot13. El Pasador de Oro XO and Gran Reserva14. Punta Cana Esplendido15. Edmundo Dantes 15y16. Pampero Aniversario17. Bacoo 12y18. Esclavo 15y and 12y19. Brugal Leyenda20. Exquisito 1985 and 1995",2017-08-16,Joola69,United States,764,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
35035,Very nice rum.,Sweet and very fine rum. My favorite. I recommend...,2017-05-23,ZZ,Czech Republic,13,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
31634,The one that got me collecting rum,"A friend introduced this one to me when I had indicated my ambivalence to all things rum - up to that point I was a confirmed whisky drinker (rye, thank you very much, none of that peaty scotch crap)What an eye opener. The sheer... goodness of this rum was immediate and forever changed my go-to spirit of choice. Caramel, vanilla, molasses...sweet and buttery smooth...I still enjoy locating new and interesting rye blends, but my liquor cabinet is now stuffed mainly with rum as I try to locate THIS 10/10 rum's equal - an admittedly difficult task as it's tough to surpass the perfection of your first love....If I could just get past my hatred of peat, I think I'd be set.",2017-03-04,Mike,Canada,3,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
23685,"V Good, but not for every day","This is a flavor-bomb, very complex and almost chewy.  However, I wonder that few if any folks here mention the licorice.  This stuff tastes like it was aged in Bookers bourbon barrels.   I mean, it's rum through and through, and very good, but the usual rummy aromas and flavors are overwhelmed by a stalk-y vegetal presence - and black licorice.  Straight up, it's very good.   But a splash of water or an ice cube brings out the licorice to a level I couldn't enjoy (of course, I don't like Bookers all that well either).  In the first third of the bottle, I was ready to buy 3 or 4 more.  By the last third, I was kind of tired of it.  So, I'll put it in the back of the cabinet, and 'rediscover' it at some future date.",2016-09-09,Joe Doaks,United States,3,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
12888,A true dark rum,"Smooth, heavy on the demerara, just like I like it. ",2015-11-06,Matesha,New Zealand,1,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
10713,lækker sag,"den første rom som jeg købte. Og det har jeg bestemt ikke fortrudt. Duft: dejlig sød og rund med noter af blomme og figneSmag: røget, sød og med en dejlig balanceret eftersmag. ",2015-08-14,Ole Bodenhoff,Denmark,46,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
